provincia,country,lat,long,dates,value
,Afghanistan,33.93911000,67.70995300,2020-04-27,220
,Afghanistan,33.93911000,67.70995300,2020-04-28,228
,Afghanistan,33.93911000,67.70995300,2020-04-29,252
,Afghanistan,33.93911000,67.70995300,2020-04-30,260
,Afghanistan,33.93911000,67.70995300,2020-05-01,310
,Afghanistan,33.93911000,67.70995300,2020-05-02,331
,Afghanistan,33.93911000,67.70995300,2020-05-03,345
,Afghanistan,33.93911000,67.70995300,2020-05-04,397
,Afghanistan,33.93911000,67.70995300,2020-05-05,421
,Afghanistan,33.93911000,67.70995300,2020-05-06,458
,Afghanistan,33.93911000,67.70995300,2020-05-07,468
,Afghanistan,33.93911000,67.70995300,2020-05-08,472
,Afghanistan,33.93911000,67.70995300,2020-05-09,502
,Afghanistan,33.93911000,67.70995300,2020-05-10,558
,Afghanistan,33.93911000,67.70995300,2020-05-11,558
,Afghanistan,33.93911000,67.70995300,2020-05-12,610
,Afghanistan,33.93911000,67.70995300,2020-05-13,648
,Afghanistan,33.93911000,67.70995300,2020-05-14,691
,Afghanistan,33.93911000,67.70995300,2020-05-15,745
,Afghanistan,33.93911000,67.70995300,2020-05-16,745
,Afghanistan,33.93911000,67.70995300,2020-05-17,778
,Afghanistan,33.93911000,67.70995300,2020-05-18,801
,Afghanistan,33.93911000,67.70995300,2020-05-19,850
,Afghanistan,33.93911000,67.70995300,2020-05-20,930
,Afghanistan,33.93911000,67.70995300,2020-05-21,938
,Afghanistan,33.93911000,67.70995300,2020-05-22,996
,Afghanistan,33.93911000,67.70995300,2020-05-23,1040
,Afghanistan,33.93911000,67.70995300,2020-05-24,1075
,Afghanistan,33.93911000,67.70995300,2020-05-25,1097
,Afghanistan,33.93911000,67.70995300,2020-05-26,1128
,Afghanistan,33.93911000,67.70995300,2020-05-27,1138
,Afghanistan,33.93911000,67.70995300,2020-05-28,1209
,Afghanistan,33.93911000,67.70995300,2020-05-29,1259
,Afghanistan,33.93911000,67.70995300,2020-05-30,1303
,Afghanistan,33.93911000,67.70995300,2020-05-31,1328
,Afghanistan,33.93911000,67.70995300,2020-06-01,1428
,Afghanistan,33.93911000,67.70995300,2020-06-02,1450
,Afghanistan,33.93911000,67.70995300,2020-06-03,1522
,Afghanistan,33.93911000,67.70995300,2020-06-04,1585
,Afghanistan,33.93911000,67.70995300,2020-06-05,1762
,Afghanistan,33.93911000,67.70995300,2020-06-06,1830
,Afghanistan,33.93911000,67.70995300,2020-06-07,1875
,Afghanistan,33.93911000,67.70995300,2020-06-08,2171
,Afghanistan,33.93911000,67.70995300,2020-06-09,2651
,Afghanistan,33.93911000,67.70995300,2020-06-10,3013
,Afghanistan,33.93911000,67.70995300,2020-06-11,3326
,Afghanistan,33.93911000,67.70995300,2020-06-12,3928
,Afghanistan,33.93911000,67.70995300,2020-06-13,4201
,Afghanistan,33.93911000,67.70995300,2020-06-14,4725
,Afghanistan,33.93911000,67.70995300,2020-06-15,5164
,Afghanistan,33.93911000,67.70995300,2020-06-16,5508
,Afghanistan,33.93911000,67.70995300,2020-06-17,6158
,Afghanistan,33.93911000,67.70995300,2020-06-18,7660
,Afghanistan,33.93911000,67.70995300,2020-06-19,7962
,Afghanistan,33.93911000,67.70995300,2020-06-20,8292
,Afghanistan,33.93911000,67.70995300,2020-06-21,8764
,Afghanistan,33.93911000,67.70995300,2020-06-22,8841
,Afghanistan,33.93911000,67.70995300,2020-06-23,9260
,Afghanistan,33.93911000,67.70995300,2020-06-24,9869
,Afghanistan,33.93911000,67.70995300,2020-06-25,10174
,Afghanistan,33.93911000,67.70995300,2020-06-26,10306
,Afghanistan,33.93911000,67.70995300,2020-06-27,10674
,Afghanistan,33.93911000,67.70995300,2020-06-28,12604
,Afghanistan,33.93911000,67.70995300,2020-06-29,13934
,Afghanistan,33.93911000,67.70995300,2020-06-30,14131
,Afghanistan,33.93911000,67.70995300,2020-07-01,15651
,Afghanistan,33.93911000,67.70995300,2020-07-02,16041
,Afghanistan,33.93911000,67.70995300,2020-07-03,17331
,Afghanistan,33.93911000,67.70995300,2020-07-04,19164
,Afghanistan,33.93911000,67.70995300,2020-07-05,19366
,Afghanistan,33.93911000,67.70995300,2020-07-06,20103
,Afghanistan,33.93911000,67.70995300,2020-07-07,20179
,Afghanistan,33.93911000,67.70995300,2020-07-08,20700
,Afghanistan,33.93911000,67.70995300,2020-07-09,20847
,Afghanistan,33.93911000,67.70995300,2020-07-10,20882
,Afghanistan,33.93911000,67.70995300,2020-07-11,21135
,Afghanistan,33.93911000,67.70995300,2020-07-12,21216
,Afghanistan,33.93911000,67.70995300,2020-07-13,21254
,Afghanistan,33.93911000,67.70995300,2020-07-14,21454
,Afghanistan,33.93911000,67.70995300,2020-07-15,22456
,Afghanistan,33.93911000,67.70995300,2020-07-16,22824
,Afghanistan,33.93911000,67.70995300,2020-07-17,23151
,Afghanistan,33.93911000,67.70995300,2020-07-18,23273
,Afghanistan,33.93911000,67.70995300,2020-07-19,23634
,Afghanistan,33.93911000,67.70995300,2020-07-20,23741
,Afghanistan,33.93911000,67.70995300,2020-07-21,23741
,Afghanistan,33.93911000,67.70995300,2020-07-22,23924
,Afghanistan,33.93911000,67.70995300,2020-07-23,24550
,Afghanistan,33.93911000,67.70995300,2020-07-24,24602
,Afghanistan,33.93911000,67.70995300,2020-07-25,24793
,Afghanistan,33.93911000,67.70995300,2020-07-26,25180
,Afghanistan,33.93911000,67.70995300,2020-07-27,25198
,Afghanistan,33.93911000,67.70995300,2020-07-28,25358
,Afghanistan,33.93911000,67.70995300,2020-07-29,25389
,Afghanistan,33.93911000,67.70995300,2020-07-30,25471
,Afghanistan,33.93911000,67.70995300,2020-07-31,25509
,Afghanistan,33.93911000,67.70995300,2020-08-01,25509
,Afghanistan,33.93911000,67.70995300,2020-08-02,25510
,Afghanistan,33.93911000,67.70995300,2020-08-03,25669
,Afghanistan,33.93911000,67.70995300,2020-08-04,25669
,Afghanistan,33.93911000,67.70995300,2020-08-05,25742
,Afghanistan,33.93911000,67.70995300,2020-08-06,25840
,Afghanistan,33.93911000,67.70995300,2020-08-07,25903
